Order ID,Order Date,Customer ID,Customer Name,City,State,Country,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Order Priority
IN-2012-44810,2/25/2012,BP-11230,Benjamin Patterson,Surat,Gujarat,India,FUR-CH-10001415,Furniture,Chairs,"Office Star Executive Leather Armchair, Red","? 1,878.72",4,? 582.36,Critical
IN-2014-37320,11/11/2014,BF-11005,Barry Franz,Gorakhpur,Haryana,India,TEC-PH-10003856,Technology,Phones,"Motorola Smart Phone, with Caller ID","? 4,518.78",7,? 632.52,High
IN-2014-76016,9/26/2014,VG-21805,Vivek Grady,Thiruvananthapuram,Kerala,India,FUR-BO-10004852,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional","? 5,667.87",13,"? 2,097.03",Medium
IN-2014-35983,5/1/2014,SW-20275,Scott Williamson,Jamshedpur,Jharkhand,India,TEC-MA-10002680,Technology,Machines,"Konica Inkjet, White","? 2,174.13",7,? 500.01,Critical
IN-2012-66342,5/30/2012,SG-20470,Sheri Gordon,Bhopal,Madhya Pradesh,India,TEC-CO-10004997,Technology,Copiers,"Hewlett Wireless Fax, Color","? 1,526.52",4,? 732.72,Critical
IN-2012-48240,5/25/2012,GP-14740,Guy Phonely,Delhi,Delhi,India,FUR-TA-10000226,Furniture,Tables,"Chromcraft Conference Table, with Bottom Storage","? 1,745.34",2,? 226.86,Critical
IN-2014-11231,12/16/2014,CS-11845,Cari Sayre,Raipur,Uttarakhand,India,FUR-TA-10001205,Furniture,Tables,"Chromcraft Wood Table, Rectangular","? 1,920.36",4,? 652.92,Critical
IN-2011-46413,10/28/2011,RM-19375,Raymond Messe,Naihati,West Bengal,India,FUR-CH-10000602,Furniture,Chairs,"Novimex Executive Leather Armchair, Red","? 2,301.00",5,? 91.95,Critical
IN-2012-48240,5/25/2012,GP-14740,Guy Phonely,Delhi,Delhi,India,TEC-PH-10004664,Technology,Phones,"Nokia Smart Phone, with Caller ID","? 1,916.73",3,? 498.33,Critical
IN-2013-30663,11/25/2013,SV-20815,Stuart Van,Vadodara,Gujarat,India,TEC-CO-10004535,Technology,Copiers,"Hewlett Fax Machine, High-Speed","? 1,590.60",5,? 572.55,Critical
IN-2014-65488,7/17/2014,CP-12340,Christine Phan,Aurangabad,Bihar,India,OFF-AP-10002090,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Red","? 4,001.04",8,"? 1,440.24",Medium
IN-2014-37320,11/11/2014,BF-11005,Barry Franz,Gorakhpur,Haryana,India,OFF-AP-10002244,Office Supplies,Appliances,"Breville Refrigerator, White","? 3,622.29",7,"? 1,267.77",High
IN-2014-68463,5/22/2014,DM-13345,Denise Monton,Bokaro,Jharkhand,India,OFF-ST-10004060,Office Supplies,Storage,"Fellowes Lockers, Blue","? 1,865.97",9,? 802.17,Critical
IN-2014-23761,6/2/2014,MH-18115,Mick Hernandez,Kozhikode,Kerala,India,FUR-BO-10000210,Furniture,Bookcases,"Ikea Library with Doors, Pine","? 1,094.22",3,? 328.23,Critical
IN-2014-32770,10/7/2014,AP-10720,Anne Pryor,Jabalpur,Madhya Pradesh,India,TEC-PH-10003856,Technology,Phones,"Motorola Smart Phone, with Caller ID","? 2,582.16",4,? 361.44,High
